,country,Lat,Long_,confirmed,deaths,recovered,active,mortality,ISO3
129,Norway,60.472,8.4689,38323.0,354.0,17998.0,19971.0,0.9237272656107298,NOR
130,Oman,21.512583,55.92325500000001,124886.0,1444.0,116354.0,7088.0,1.1562545041077463,OMN
131,Pakistan,30.3753,69.3451,420294.0,8398.0,356542.0,55354.0,1.9981251219384528,PAK
132,Panama,8.538,-80.7821,177719.0,3193.0,152890.0,21636.0,1.79665651956178,PAN
133,Papua New Guinea,-6.314993,143.95555,671.0,7.0,597.0,67.0,1.0432190760059612,PNG
134,Paraguay,-23.4425,-58.4438,87920.0,1853.0,61948.0,24119.0,2.1075978161965425,PRY
135,Peru,-9.19,-75.0152,972688.0,36231.0,907654.0,28803.0,3.7248326287566,PER
136,Philippines,12.879721,121.774017,439834.0,8554.0,408634.0,22646.0,1.9448246383863004,PHL
137,Poland,51.9194,19.1451,1063449.0,20089.0,706720.0,336640.0,1.889042163752093,POL
138,Portugal,39.3999,-8.2245,322474.0,4963.0,243055.0,74456.0,1.5390388062293394,PRT
139,Qatar,25.3548,51.1839,139908.0,239.0,137276.0,2393.0,0.1708265431569317,QAT
140,Romania,45.9432,24.9668,513576.0,12320.0,405612.0,95644.0,2.3988659906226153,ROU
141,Russia,61.524,105.3188,2439163.0,42675.0,1920744.0,475744.0,1.7495755716202648,RUS
142,Rwanda,-1.9403,29.8739,6129.0,51.0,5696.0,382.0,0.8321096426823299,RWA
143,Saint Kitts and Nevis,17.357822,-62.782998,25.0,0.0,20.0,5.0,0.0,KNA
144,Saint Lucia,13.9094,-60.9789,265.0,2.0,158.0,105.0,0.7547169811320755,LCA
145,Saint Vincent and the Grenadines,12.9843,-61.2872,87.0,0.0,80.0,7.0,0.0,VCT
146,San Marino,43.9424,12.4578,1789.0,48.0,1412.0,329.0,2.6830631637786477,SMR
147,Sao Tome and Principe,0.1864,6.6131,999.0,17.0,937.0,45.0,1.7017017017017018,STP
148,Saudi Arabia,23.885942,45.079162,358713.0,5965.0,348879.0,3869.0,1.6628892735975558,SAU
149,Senegal,14.4974,-14.4524,16477.0,338.0,15776.0,363.0,2.0513442981125203,SEN
150,Serbia,44.0165,21.0059,219652.0,1949.0,,217703.0,0.8873126582047967,SRB
151,Seychelles,-4.6796,55.492,184.0,0.0,168.0,16.0,0.0,SYC
152,Sierra Leone,8.460555000000001,-11.779889,2426.0,74.0,1846.0,506.0,3.0502885408079137,SLE
153,Singapore,1.2833,103.8333,58260.0,29.0,58160.0,71.0,0.049776862341228974,SGP
154,Slovakia,48.669,19.699,116731.0,996.0,82666.0,33069.0,0.8532437827141034,SVK
155,Slovenia,46.1512,14.9955,85805.0,1744.0,63580.0,20481.0,2.032515587669716,SVN
156,Solomon Islands,-9.6457,160.1562,17.0,0.0,5.0,12.0,0.0,SLB
157,Somalia,5.152149,46.199616,4525.0,121.0,3480.0,924.0,2.6740331491712706,SOM
158,South Africa,-30.5595,22.9375,814565.0,22206.0,744780.0,47579.0,2.7261176210615483,ZAF
159,South Sudan,6.877000000000002,31.307,3181.0,62.0,2977.0,142.0,1.949072618673373,SSD
160,Spain,40.463667,-3.74922,1684647.0,46252.0,150376.0,1488019.0,2.745500986260029,ESP
161,Sri Lanka,7.873054,80.77179699999998,27877.0,140.0,20460.0,7277.0,0.5022061197402877,LKA
162,Sudan,12.8628,30.2176,19468.0,1295.0,11021.0,7152.0,6.6519416478323405,SDN
